"","Cytoband","Coefficients","T_val","P_val","cnv_type","Event","Chromosome","Arm","ChrArm","-signedlog(P.adj)","cnv_status","TumorType","CellType"
"59","2p23.3",0.957269444745188,2.67398421365437,1,"con","ALL","2","p","2p",0,1,"LUAD","B_cell"
"60","2p23.2",0.981281957524728,2.54001979231306,1,"con","ALL","2","p","2p",0,1,"LUAD","B_cell"
"61","2p22.3",0.974849395905619,2.54682454785863,1,"con","ALL","2","p","2p",0,1,"LUAD","B_cell"
"62","2p22.2",0.881805289399432,2.42687173897287,1,"con","ALL","2","p","2p",0,1,"LUAD","B_cell"
"63","2p22.1",0.778242689289481,2.29429999294944,1,"con","ALL","2","p","2p",0,1,"LUAD","B_cell"
"64","2p21",0.565074983455885,1.72054958872427,1,"con","ALL","2","p","2p",0,-1,"LUAD","B_cell"
"65","2p16.2",0.51654555210919,1.68951687773706,1,"con","ALL","2","p","2p",0,-1,"LUAD","B_cell"
"66","2p16.1",0.515723771353552,1.73070791873144,1,"con","ALL","2","p","2p",0,-1,"LUAD","B_cell"
"67","2p15",0.483088632010914,1.68353858270267,1,"con","ALL","2","p","2p",0,1,"LUAD","B_cell"
"68","2p14",0.428174617645638,1.48471958706356,1,"con","ALL","2","p","2p",0,1,"LUAD","B_cell"
"69","2p13.3",0.396430692735001,1.35728333532487,1,"con","ALL","2","p","2p",0,1,"LUAD","B_cell"
"70","2p13.2",0.375174301402979,1.25125878642772,1,"con","ALL","2","p","2p",0,1,"LUAD","B_cell"
"71","2p13.1",0.395758210351164,1.25929964651587,1,"con","ALL","2","p","2p",0,1,"LUAD","B_cell"
"72","2p12",0.410619710732297,1.24706676608801,1,"con","ALL","2","p","2p",0,1,"LUAD","B_cell"
"73","2p11.2",0.350565187197254,1.04237058000214,1,"con","ALL","2","p","2p",0,1,"LUAD","B_cell"
"74","2q11.1",0.330287557660756,0.961713809029869,1,"con","ALL","2","q","2q",0,1,"LUAD","B_cell"
"75","2q11.2",0.26498261348882,0.727387624554829,1,"con","ALL","2","q","2q",0,1,"LUAD","B_cell"
"76","2q12.2",0.177800431347096,0.463342440434503,1,"con","ALL","2","q","2q",0,1,"LUAD","B_cell"
"77","2q12.3",0.166636762785636,0.431197836161923,1,"con","ALL","2","q","2q",0,1,"LUAD","B_cell"
"78","2q13",0.176791178389459,0.454260512226458,1,"con","ALL","2","q","2q",0,1,"LUAD","B_cell"
"79","2q14.1",0.178500983725675,0.456964348049368,1,"con","ALL","2","q","2q",0,1,"LUAD","B_cell"
"80","2q14.2",0.234656156700114,0.592610146152929,1,"con","ALL","2","q","2q",0,1,"LUAD","B_cell"
"81","2q14.3",0.215307085012883,0.557383784117103,1,"con","ALL","2","q","2q",0,1,"LUAD","B_cell"
"82","2q21.1",0.189767485947043,0.487175095311699,1,"con","ALL","2","q","2q",0,1,"LUAD","B_cell"
"83","2q21.3",0.192534945201552,0.508227759172438,1,"con","ALL","2","q","2q",0,1,"LUAD","B_cell"
"84","2q23.2",0.179285633963573,0.477954387564512,1,"con","ALL","2","q","2q",0,1,"LUAD","B_cell"
"85","2q23.3",0.153401076295913,0.4100410136323,1,"con","ALL","2","q","2q",0,1,"LUAD","B_cell"
"86","2q24.2",0.115033927167416,0.307341647507051,1,"con","ALL","2","q","2q",0,1,"LUAD","B_cell"
"87","2q31.1",0.158174016454603,0.422389847124006,1,"con","ALL","2","q","2q",0,1,"LUAD","B_cell"
"88","2q31.2",0.215871704862501,0.525922621799599,1,"con","ALL","2","q","2q",0,1,"LUAD","B_cell"
