,TumorType,Arm_1p,Arm_1q,Arm_2p,Arm_2q,Arm_3p,Arm_3q,Arm_4p,Arm_4q,Arm_5p,Arm_5q,Arm_6p,Arm_6q,Arm_7p,Arm_7q,Arm_8p,Arm_8q,Arm_9p,Arm_9q,Arm_10p,Arm_10q,Arm_11p,Arm_11q,Arm_12p,Arm_12q,Arm_13q,Arm_14q,Arm_15q,Arm_16p,Arm_16q,Arm_17p,Arm_17q,Arm_18p,Arm_18q,Arm_19p,Arm_19q,Arm_20p,Arm_20q,Arm_21p,Arm_21q,Arm_22q
11CO019,CO,-0.438476452558443,-0.438476452558443,0,0,-0.282415739170667,-0.282415739170667,0,0,0,0,-0.458646226881152,-0.458646226881152,0.939089753402338,0.939089753402338,0,0,0,0,0,0,0,0,0,0,0.86025298030278,0.343441049118925,-0.454150532334644,0,0,-0.238538591784031,-0.238538591784031,0,0,0,0,-0.618797240542493,1.63582012024482,-0.456397407479601,-0.456397407479601,0
11CO020,CO,0,0.477090225922074,0.502792402501861,0.502792402501861,0.473226096145675,0.473226096145675,-0.688501398533393,0,0.507920709133341,0,0.310064127981305,0,0.514325466527406,0,0.536055319934124,0.536055319934124,1.63037042914395,0,-0.583060618190331,-0.583060618190331,0.382388455416205,0,0.405872796074371,0.405872796074371,0.518165333454094,0.407174873758234,0,0,0,-0.35004350821859,0.365371564050064,-0.0861663662347608,-0.639468722599387,0,0,0,0,0,0,-0.242638177691405
11CO021,CO,0,0.728902572889256,0,0,0,0,-1.17997891294322,-1.17997891294322,0,0,0,0,0,0,-1.15985563749542,-1.15985563749542,0,0,0,0,0,0,0,0,0.863530190799312,-1.12504010310176,0,0,0,-1.15485109365482,-1.15485109365482,-1.20027320103962,-1.20027320103962,-0.944189988131497,0,0,0,-1.15235272292234,-1.15235272292234,-1.16989613781185
11CO022,CO,0,0,0,0,0,0,0,0,0,0,0,0,0.816693267548164,0.816693267548164,0,0.864270717616234,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.21004961907529,0,-1.14204180729343,-1.14204180729343,-0.19050513885254,-0.19050513885254,0,1.45990760639013,-1.19945685166907,-1.19945685166907,0
11CO027,CO,0,0,0,0,0,0,0,0,0.754836526031448,0.754836526031448,0,0,0.778778387437014,0.778778387437014,0.528227482972292,0.528227482972292,0,0,0,0,0,0,0,0,1.3078123253835,-1.18734307426773,0,0,0,-1.16407987313984,0,-1.11544413491942,-1.11544413491942,0,0,1.40884992181856,1.40884992181856,0,0,0
11CO030,CO,0,0,0,0,0,0.212114766108381,0,0,0,0,0,0,0.748694355536391,0.748694355536391,0,1.99941079091528,0,0,0,0,0,0,0,0,0.941919194009842,0,-1.29550043334694,0,0,-1.48838962424038,-0.250375561017239,-1.15398938388451,-1.15398938388451,-0.23956640059542,-0.23956640059542,0.505072706460962,1.44103205162293,0,0,-0.2245061673227
11CO031,CO,0,1.60893406612529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.44816052713457,-0.44816052713457,0,0,-0.497546882928879,-0.497546882928879,0,0,0,0,-0.497546882928879
11CO032,CO,-1.00354138592485,0,0,0,0,0,-1.00024871244973,-1.00024871244973,0,0,0,0,0,0,0,0,0.61600692944754,0.61600692944754,0,0,0,0,0,0,0.631693247278766,-1.25207215941862,-1.26703604342442,0,0,-1.46866240299853,-1.46866240299853,-1.22983703541759,-1.22983703541759,0,0,0,0,-1.24092332025572,-1.24092332025572,-1.58028117844485
11CO033,CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.521074211416362,0.521074211416362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.523245015901928,-0.523245015901928,0,0,0,0,0
11CO036,CO,0,0,0,0,0,0,0,0,0.256540283640596,0.256540283640596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.291665240504814,-0.291665240504814,-0.285618627893677,-0.285618627893677,0,0,-0.384476294900003,-0.384476294900003,0,0,0,0,-0.39081034569106
