"","Arm","Coefficients","T_val","P_val","Event","-signedlog(P.adj)","cnv_status","TumorType"
"1740","Arm11p",-18.7774944025911,-1.458825428953,0.145494880116573,"ALL",-0.14962243294759,-1,"SKCM"
"1741","Arm11q",-22.6704997700825,-1.9608270725313,0.0506785204812409,"ALL",-0.194635397212998,-1,"SKCM"
"1742","Arm12p",-18.4307515838344,-1.35932553783086,0.174903880024712,"ALL",-0.14962243294759,1,"SKCM"
"1743","Arm12q",6.51411859171278,0.387952018430965,0.698283410560997,"ALL",0.0345461126840019,-1,"SKCM"
"1744","Arm13q",-19.6296617424711,-1.86987387386184,0.0623219074975412,"ALL",-0.194635397212998,-1,"SKCM"
"1745","Arm14q",-17.2008556376652,-1.34248865104372,0.180293029483653,"ALL",-0.14962243294759,-1,"SKCM"
"1746","Arm15q",8.91433595969255,0.654061070930812,0.513494739416762,"ALL",0.0345461126840019,1,"SKCM"
"1747","Arm16p",9.92825558638281,0.628554479217001,0.530043827078702,"ALL",0.0345461126840019,-1,"SKCM"
"1748","Arm16q",-6.53432194868931,-0.498002555067385,0.618789734638586,"ALL",-0.0345461126840019,-1,"SKCM"
"1749","Arm17p",-9.86145984811863,-0.813337428688741,0.416568247224285,"ALL",-0.0345461126840019,-1,"SKCM"
"1750","Arm17q",-6.97428295206862,-0.477273416239207,0.633460306386135,"ALL",-0.0345461126840019,-1,"SKCM"
"1751","Arm18p",-0.966112298826891,-0.0871746257196258,0.930581720482745,"ALL",-0.0187346867120469,-1,"SKCM"
"1752","Arm18q",-16.4333411573946,-1.3127825396472,0.190101872855262,"ALL",-0.14962243294759,-1,"SKCM"
"1753","Arm19p",-30.6522976265388,-1.95307216466367,0.0515941801484903,"ALL",-0.194635397212998,-1,"SKCM"
"1754","Arm19q",-15.5040014459908,-0.952782989504665,0.341346485652997,"ALL",-0.0844696287448067,-1,"SKCM"
"1755","Arm20p",2.9660064905113,0.26418902399735,0.791787140496754,"ALL",0.0255206658663667,1,"SKCM"
"1756","Arm20q",8.16447002361919,0.688678073903164,0.491474424909806,"ALL",0.0345461126840019,1,"SKCM"
"1757","Arm21q",-7.75548823163409,-0.585129411581318,0.55883138873976,"ALL",-0.0345461126840019,-1,"SKCM"
"1758","Arm22q",-4.51175418612355,-0.411199907904622,0.681173377121717,"ALL",-0.0345461126840019,1,"SKCM"
"1759","ArmXp",33.8607175523833,1.52491928931345,0.128167085197438,"ALL",0.14962243294759,-1,"SKCM"
"1760","ArmXq",15.0204708347794,0.559606713943534,0.576099631879822,"ALL",0.0345461126840019,-1,"SKCM"
"1761","Arm1p",29.0530650591872,1.22402163004887,0.221646972583816,"ALL",0.35709267494317,-1,"STAD"
"1762","Arm1q",-19.7527032597019,-1.10369414459261,0.270373185259882,"ALL",-0.29767520662255,1,"STAD"
"1763","Arm2p",41.4018491360474,1.62838770803043,0.104210821677658,"ALL",0.525100441574183,1,"STAD"
"1764","Arm2q",48.645631516784,1.78993949712443,0.0742014584862547,"ALL",0.630747053834932,1,"STAD"
"1765","Arm3p",7.59470695898913,0.36779288332913,0.713217467744551,"ALL",0.0654730891784693,-1,"STAD"
"1766","Arm3q",31.4234611046338,1.82122756143374,0.0693009066976794,"ALL",0.630747053834932,1,"STAD"
"1767","Arm4p",-10.9202844435027,-0.606135045180659,0.54476050900692,"ALL",-0.124704932349375,-1,"STAD"
"1768","Arm4q",8.3808051854065,0.389604390321808,0.697031399016687,"ALL",0.0654730891784693,-1,"STAD"
"1769","Arm5p",20.5161535885267,1.86060273541067,0.0635160002552187,"ALL",0.630747053834932,1,"STAD"
"1770","Arm5q",26.619290005173,1.88253778098785,0.060470905061514,"ALL",0.630747053834932,-1,"STAD"
"1771","Arm6p",15.9883543662383,0.910511983357918,0.363087540155998,"ALL",0.188932633536553,1,"STAD"
