"","Cytoband","Coefficients","T_val","P_val","cnv_type","Event","Chromosome","Arm","ChrArm","-signedlog(P.adj)","cnv_status","TumorType","CellType"
"91","2q32.3",0.157061176420346,0.373913243786664,1,"con","ALL","2","q","2q",0,1,"LUAD","B_cell"
"92","2q33.1",0.195885241527977,0.43278049012079,1,"con","ALL","2","q","2q",0,1,"LUAD","B_cell"
"93","2q33.2",0.0227349124303474,0.0482244261844071,1,"con","ALL","2","q","2q",0,1,"LUAD","B_cell"
"94","2q34",0.0677289622875266,0.157292440615333,1,"con","ALL","2","q","2q",0,1,"LUAD","B_cell"
"95","2q35",0.184641121851559,0.470598388741603,1,"con","ALL","2","q","2q",0,1,"LUAD","B_cell"
"96","2q36.1",0.180243174233843,0.507909258146395,0.612745911339652,"con","ALL","2","q","2q",0,1,"LUAD","B_cell"
"97","2q36.3",0.180048683032185,0.52206764634992,0.602891750388465,"con","ALL","2","q","2q",0,1,"LUAD","B_cell"
"98","2q37.1",0.177779785716247,0.562126448843324,0.575411901533218,"con","ALL","2","q","2q",0,1,"LUAD","B_cell"
"99","2q37.3",0.102059196015822,0.349185707792437,0.727756608286989,"con","ALL","2","q","2q",0,1,"LUAD","B_cell"
"100","3p26.2",0.0200385530822836,0.100978293622161,0.919789842743741,"con","ALL","3","p","3p",0,-1,"LUAD","B_cell"
"101","3p26.1",0.0218259123952011,0.11050967143096,0.91224853984943,"con","ALL","3","p","3p",0,-1,"LUAD","B_cell"
"102","3p25.3",0.0367615505779704,0.189823363698181,0.849870329625173,"con","ALL","3","p","3p",0,-1,"LUAD","B_cell"
"103","3p25.2",0.0563480902515009,0.294924128347542,0.768723635384941,"con","ALL","3","p","3p",0,-1,"LUAD","B_cell"
"104","3p25.1",0.121655815035009,0.643000755108249,0.521840547414213,"con","ALL","3","p","3p",0,-1,"LUAD","B_cell"
"105","3p24.3",0.19292063965327,1.05737102985284,0.29314116052559,"con","ALL","3","p","3p",0.0662804262550242,-1,"LUAD","B_cell"
"106","3p24.2",0.188566488452387,1.03926206305221,0.301436351038084,"con","ALL","3","p","3p",0.0612117210028274,-1,"LUAD","B_cell"
"107","3p24.1",0.200663442520998,1.11931877320723,0.265949955231018,"con","ALL","3","p","3p",0.0849056350653048,-1,"LUAD","B_cell"
"108","3p23",0.208513175371449,1.16753742431164,0.246043492512859,"con","ALL","3","p","3p",0.10429585283972,-1,"LUAD","B_cell"
"109","3p22.3",0.220813111422974,1.23499890710612,0.220010146552389,"con","ALL","3","p","3p",0.13047450703282,-1,"LUAD","B_cell"
"110","3p22.2",0.233884739003237,1.29781135925065,0.197632212196299,"con","ALL","3","p","3p",0.146235652498434,-1,"LUAD","B_cell"
"111","3p22.1",0.234591486667572,1.26628883057203,0.208641601480861,"con","ALL","3","p","3p",0.135610647685973,-1,"LUAD","B_cell"
"112","3p21.33",0.227165074079997,1.18020958279274,0.240992767024483,"con","ALL","3","p","3p",0.105921774108446,-1,"LUAD","B_cell"
"113","3p21.31",0.155571700812952,0.715646248145411,0.476042099277513,"con","ALL","3","p","3p",0.00596291459711092,-1,"LUAD","B_cell"
"114","3p21.2",0.129662671313824,0.497947381526031,1,"con","ALL","3","p","3p",0,-1,"LUAD","B_cell"
"115","3p21.1",0.0826154469729886,0.280796440933536,1,"con","ALL","3","p","3p",0,-1,"LUAD","B_cell"
"116","3p14.3",0.0504521708488946,0.156511972254142,1,"con","ALL","3","p","3p",0,-1,"LUAD","B_cell"
"117","3p14.1",-0.00979451866638574,-0.0288963533241791,1,"con","ALL","3","p","3p",0,-1,"LUAD","B_cell"
"118","3p13",-0.043317070189029,-0.127748731672855,1,"con","ALL","3","p","3p",0,-1,"LUAD","B_cell"
"119","3p11.2",-0.0733177142170923,-0.211497224417336,1,"con","ALL","3","p","3p",0,-1,"LUAD","B_cell"
"120","3p11.1",-0.0980147171731285,-0.278757624812951,1,"con","ALL","3","p","3p",0,-1,"LUAD","B_cell"
"121","3q11.2",-0.0900563638967052,-0.249537582656058,1,"con","ALL","3","q","3q",0,-1,"LUAD","B_cell"
"122","3q12.2",0.174050862337413,0.5050940206961,1,"con","ALL","3","q","3q",0,1,"LUAD","B_cell"
"123","3q12.3",0.182107934056784,0.526445112892627,1,"con","ALL","3","q","3q",0,1,"LUAD","B_cell"
"124","3q13.12",0.132055423363637,0.390439802825804,1,"con","ALL","3","q","3q",0,1,"LUAD","B_cell"
"125","3q13.13",0.130885041679928,0.391660193542135,1,"con","ALL","3","q","3q",0,1,"LUAD","B_cell"
"126","3q13.2",0.131570838560157,0.396413781768809,1,"con","ALL","3","q","3q",0,1,"LUAD","B_cell"
"127","3q13.31",0.135411140298014,0.412681826775804,1,"con","ALL","3","q","3q",0,1,"LUAD","B_cell"
"128","3q13.33",0.0964844520339374,0.319544422596959,0.750046143863567,"con","ALL","3","q","3q",0,1,"LUAD","B_cell"
"129","3q21.1",0.0801151779059116,0.290695395976543,0.771945768428887,"con","ALL","3","q","3q",0,1,"LUAD","B_cell"
"130","3q21.3",0.135747499661633,0.53573261193819,0.593450358801621,"con","ALL","3","q","3q",0,1,"LUAD","B_cell"
"131","3q22.1",0.189261493207151,0.762549378612832,0.447704297151754,"con","ALL","3","q","3q",0.00886981873052237,1,"LUAD","B_cell"
