"","Cytoband","Coefficients","T_val","P_val","cnv_type","Event","Chromosome","Arm","ChrArm","-signedlog(P.adj)","cnv_status","TumorType"
"25873","2p13.1",-14.779418007516,-0.933044190326562,0.351256675734179,"con","ALL","2","p","2p",-0.177738458445501,1,"LUSC"
"25874","2p12",-13.173917052159,-0.809832415506733,0.418429591826859,"con","ALL","2","p","2p",-0.140262929828354,1,"LUSC"
"25875","2p11.2",-16.4844862708446,-0.972973867334932,0.331046347755536,"con","ALL","2","p","2p",-0.187617979149117,1,"LUSC"
"25876","2p11.1",-20.5355962910037,-1.42358485081543,0.15520310639507,"con","ALL","2","p","2p",-0.371788195628759,1,"LUSC"
"25877","2q11.1",3.18113950072676,0.212240567475045,0.83200761678439,"con","ALL","2","q","2q",0.0326759533425996,1,"LUSC"
"25878","2q11.2",-1.68984313065037,-0.101274762250632,0.919373776440773,"con","ALL","2","q","2q",-0.0166635712812369,1,"LUSC"
"25879","2q12.1",-13.8080297413215,-0.784018176313693,0.433408268702656,"con","ALL","2","q","2q",-0.138891499750385,1,"LUSC"
"25880","2q12.2",-25.1248832443517,-1.43921811899545,0.150727218287736,"con","ALL","2","q","2q",-0.377871271895941,1,"LUSC"
"25881","2q12.3",-32.3912229370538,-1.84567281455617,0.0655427900101679,"con","ALL","2","q","2q",-0.564941763739282,1,"LUSC"
"25882","2q13",-41.9788263499611,-2.27522518880027,0.0233234988564671,"con","ALL","2","q","2q",-0.776168894289855,1,"LUSC"
"25883","2q14.1",-38.3817087284154,-2.27421727824685,0.0233844740723032,"con","ALL","2","q","2q",-0.776168894289855,1,"LUSC"
"25884","2q14.2",-34.1961038849256,-2.18527415563949,0.0293415692596112,"con","ALL","2","q","2q",-0.730452445846845,1,"LUSC"
"25885","2q14.3",-49.4912779550043,-2.89380609080491,0.00397564553775645,"con","ALL","2","q","2q",-1.2501321574225,1,"LUSC"
